id,appid,genre
1038,49320,Casual
1039,49330,Strategy
1040,49470,Strategy
1041,49520,"Action, RPG"
1042,49540,Action
1043,49600,"Action, Casual, Indie"
1044,49800,"Action, Indie"
1045,49810,Indie
1046,49900,"Action, Indie"
1047,50000,"Indie, Racing"
1048,50130,Action
1049,50300,"Action, Adventure"
1050,50400,
1051,50510,Action
1052,50620,"Action, Adventure"
1053,50820,Indie
1054,50910,Casual
1055,50920,"Casual, Indie"
1056,50930,Casual
1057,50940,Casual
1058,50960,Casual
1059,50970,Casual
1060,50980,Casual
1061,50990,Casual
1062,51000,Casual
1063,51010,"Casual, Simulation"
1064,51020,Casual
1065,51030,"Casual, Indie"
1066,51060,"Adventure, Casual"
1067,55000,"Adventure, Indie, Strategy"
1068,55020,
1069,55040,"Indie, Strategy"
1070,55100,Action
1071,55110,Action
1072,55130,
1073,55140,Racing
1074,55150,Action
1075,55190,
1076,55210,
1077,55230,Action
1078,57000,"Action, Adventure"
1079,57200,"Casual, Indie"
1080,57300,"Action, Adventure, Indie"
1081,57620,Strategy
1082,57640,Adventure
1083,57650,"RPG, Strategy"
1084,57680,"Action, Adventure"
1085,57690,"Simulation, Strategy"
1086,57700,"Action, Casual, Indie"
1087,57740,"RPG, Simulation, Strategy"
1088,57800,"Adventure, Casual, Indie"
1089,57900,Action
1090,58200,"Adventure, Casual, Indie"
1091,58230,"Adventure, Casual, Indie"
1092,58400,"Casual, Indie"
1093,58520,"Sports, Strategy"
1094,58550,Strategy
1095,58560,Adventure
1096,58570,Adventure
1097,58610,Strategy
1098,60340,"Action, Adventure, Casual"
1099,60350,"Adventure, Casual, Indie"
1100,60600,"Action, Indie"
1101,60700,"Strategy, Indie"
1102,60800,RPG
1103,61100,"Indie, Casual"
1104,61310,"Indie, Casual"
1105,61500,"RPG, Strategy"
1106,61510,"RPG, Strategy"
1107,61520,"RPG, Strategy"
1108,61600,"Indie, Casual"
1109,61700,"RPG, Strategy"
1110,61730,"Action, Indie, Casual"
1111,62000,"Action, Casual"
1112,62100,Casual
1113,63000,"Action, Casual, Indie, Strategy"
1114,63110,Adventure
1115,63200,"Action, Strategy, Indie, Sports"
1116,63230,
1117,63380,Action
1118,63500,"Action, Casual, Indie, Strategy"
1119,63610,"Adventure, Casual"
1120,63620,"Adventure, Casual"
1121,63630,"Adventure, Casual"
1122,63640,"Adventure, Casual"
1123,63650,"Adventure, Casual"
1124,63660,"Adventure, Casual"
1125,63700,"Action, Casual, Indie"
1126,63710,"Action, Indie"
1127,63800,"Adventure, Indie, RPG, Strategy"
1128,63900,Strategy
1129,63910,"RPG, Strategy"
1130,63940,Strategy
1131,63950,Simulation
1132,63960,Strategy
1133,64000,Strategy
1134,65070,"Racing, Simulation"
1135,65080,Adventure
